query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
query_1,TRUE,0.03137656821100504,1,21,1,0.047619047619047616,1,GO:0004603,GO:MF,phenylethanolamine N-methyltransferase activity,20246,889,
query_1,TRUE,0.03137656821100504,10,2,1,0.5,0.1,GO:0016713,GO:MF,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen",20246,2859,
query_1,TRUE,0.03137656821100504,5,2,1,0.5,0.2,GO:0018685,GO:MF,alkane 1-monooxygenase activity,20246,3261,
query_1,TRUE,0.03137656821100504,2195,12,6,0.5,0.002733485193621868,GO:0098772,GO:MF,molecular function regulator activity,20246,8521,
query_1,TRUE,0.032260290065896834,9,3,1,0.3333333333333333,0.1111111111111111,GO:0019864,GO:MF,IgG binding,20246,3482,
query_1,TRUE,0.033183037139654314,2,17,1,0.058823529411764705,0.5,GO:0004421,GO:MF,hydroxymethylglutaryl-CoA synthase activity,20246,744,
query_1,TRUE,0.033183037139654314,4,10,1,0.1,0.25,GO:0008745,GO:MF,N-acetylmuramoyl-L-alanine amidase activity,20246,1846,
query_1,TRUE,0.033183037139654314,5,10,1,0.1,0.2,GO:0016019,GO:MF,peptidoglycan immune receptor activity,20246,2638,
query_1,TRUE,0.033183037139654314,25,2,1,0.5,0.04,GO:0070330,GO:MF,aromatase activity,20246,8007,
query_1,TRUE,0.04298185335577357,24,3,1,0.3333333333333333,0.041666666666666664,GO:0019865,GO:MF,immunoglobulin binding,20246,3483,
query_1,TRUE,0.04576882699590855,46,2,1,0.5,0.021739130434782608,GO:0016712,GO:MF,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",20246,2858,
query_1,TRUE,0.04576882699590855,5,17,1,0.058823529411764705,0.2,GO:0046912,GO:MF,"acyltransferase activity, acyl groups converted into alkyl on transfer",20246,5712,
query_1,TRUE,0.04602468354584305,35,3,1,0.3333333333333333,0.02857142857142857,GO:0004190,GO:MF,aspartic-type endopeptidase activity,20246,637,
query_1,TRUE,0.04602468354584305,36,3,1,0.3333333333333333,0.027777777777777776,GO:0070001,GO:MF,aspartic-type peptidase activity,20246,7945,
query_1,TRUE,0.049488208507603146,1339,12,4,0.3333333333333333,0.002987303958177745,GO:0030234,GO:MF,enzyme regulator activity,20246,3618,
query_1,TRUE,0.04830211700301964,15,2,1,0.5,0.06666666666666667,REAC:R-HSA-211935,REAC,Fatty acids,11004,944,
query_1,TRUE,0.04830211700301964,12,2,1,0.5,0.08333333333333333,REAC:R-HSA-211979,REAC,Eicosanoids,11004,842,
query_1,TRUE,0.04830211700301964,21,2,1,0.5,0.047619047619047616,REAC:R-HSA-2142691,REAC,Synthesis of Leukotrienes (LT) and Eoxins (EX),11004,2401,
