STRING_id	gene	degree	betweenness
9606.ENSP00000263253	EP300	94	3098.822680343664
9606.ENSP00000307208	BPTF	78	1664.5137627575195
9606.ENSP00000373696	TRIP12	78	2215.981225935102
9606.ENSP00000282516	NIPBL	66	1421.7188371064142
9606.ENSP00000382840	DDX3X	66	1576.364317657256
9606.ENSP00000386759	SETD2	64	787.8627520562579
9606.ENSP00000296328	UBXN7	60	1427.18622442112
9606.ENSP00000384863	XPO1	60	1894.67395137193
9606.ENSP00000367203	KDM6A	56	792.7298832840245
9606.ENSP00000340648	HUWE1	52	926.569126153482
