STRING_id	gene	degree	betweenness	logFC	adj.P.Val
9606.ENSP00000263253	EP300	94	3098.822680343664	2.4333606437202113	1.4812848391645921e-64
9606.ENSP00000307208	BPTF	78	1664.5137627575195	2.582889406412371	9.218299852648484e-68
9606.ENSP00000373696	TRIP12	78	2215.981225935102	2.1311623698640467	3.3117250312813715e-81
9606.ENSP00000282516	NIPBL	66	1421.7188371064142	2.269374263446432	2.8839252806743765e-78
9606.ENSP00000382840	DDX3X	66	1576.364317657256	2.246968847666873	4.2241005107549716e-83
9606.ENSP00000386759	SETD2	64	787.8627520562579	1.9985602161514373	5.791605096883979e-65
9606.ENSP00000296328	UBXN7	60	1427.18622442112	2.2741346714694175	1.5549980052119706e-69
9606.ENSP00000384863	XPO1	60	1894.6739513719301	1.7763117105955106	3.5867193457296246e-68
9606.ENSP00000367203	KDM6A	56	792.7298832840245	2.6218158811593115	3.7519714755896566e-71
9606.ENSP00000340648	HUWE1	52	926.569126153482	2.243453575542721	1.8285979812114382e-82
